GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033032329,GEOID,"Census Tract 323.29, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032401,GEOID,"Census Tract 324.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032402,GEOID,"Census Tract 324.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032500,GEOID,"Census Tract 325, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032601,GEOID,"Census Tract 326.01, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033032602,GEOID,"Census Tract 326.02, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033032702,GEOID,"Census Tract 327.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032703,GEOID,"Census Tract 327.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032704,GEOID,"Census Tract 327.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032800,GEOID,"Census Tract 328, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033990100,GEOID,"Census Tract 9901, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
RV,abbr,Rainier Valley,community,NA,NA,NA,NA,NA,NA,NA
STC_TUK,abbr,Seatac/Tukwila,community,NA,NA,NA,NA,NA,NA,NA
WC,abbr,White Center,community,NA,NA,NA,NA,NA,NA,NA
